:LABEL,id,ifc_type,layer_thickness
IfcMaterialLayer,#3892,IFCMATERIALLAYER,0.092
IfcMaterialLayer,#3901,IFCMATERIALLAYER,0.025
IfcMaterialLayer,#3916,IFCMATERIALLAYER,0.05
IfcMaterialLayer,#3931,IFCMATERIALLAYER,0.193
IfcMaterialLayer,#3940,IFCMATERIALLAYER,0.041
IfcMaterialLayer,#3981,IFCMATERIALLAYER,0.016
IfcMaterialLayer,#4199,IFCMATERIALLAYER,0.016
IfcMaterialLayer,#4200,IFCMATERIALLAYER,0.092
IfcMaterialLayer,#4201,IFCMATERIALLAYER,0.016
IfcMaterialLayer,#4353,IFCMATERIALLAYER,0.016
IfcMaterialLayer,#4354,IFCMATERIALLAYER,0.041
IfcMaterialLayer,#4355,IFCMATERIALLAYER,0.193
IfcMaterialLayer,#4356,IFCMATERIALLAYER,0.05
IfcMaterialLayer,#4357,IFCMATERIALLAYER,0.193
IfcMaterialLayer,#4358,IFCMATERIALLAYER,0.041
IfcMaterialLayer,#4359,IFCMATERIALLAYER,0.016
IfcMaterialLayer,#4800,IFCMATERIALLAYER,0.417
IfcMaterialLayer,#5039,IFCMATERIALLAYER,0.435
IfcMaterialLayer,#5243,IFCMATERIALLAYER,0.127
IfcMaterialLayer,#5839,IFCMATERIALLAYER,0.016
IfcMaterialLayer,#5840,IFCMATERIALLAYER,0.152
IfcMaterialLayer,#5841,IFCMATERIALLAYER,0.016
IfcMaterialLayer,#6212,IFCMATERIALLAYER,0.019
IfcMaterialLayer,#6221,IFCMATERIALLAYER,0.286
IfcMaterialLayer,#20870,IFCMATERIALLAYER,0.016
IfcMaterialLayer,#20879,IFCMATERIALLAYER,0.003
IfcMaterialLayer,#21278,IFCMATERIALLAYER,0.01
IfcMaterialLayer,#21319,IFCMATERIALLAYER,0.003
IfcMaterialLayer,#22624,IFCMATERIALLAYER,0.06399999999999999
IfcMaterialLayer,#22633,IFCMATERIALLAYER,0.006
IfcMaterialLayer,#22642,IFCMATERIALLAYER,0.006
IfcMaterialLayer,#22643,IFCMATERIALLAYER,0.07599999999999998
IfcMaterialLayer,#22644,IFCMATERIALLAYER,0.019
IfcMaterialLayer,#22645,IFCMATERIALLAYER,0.286
IfcMaterialLayer,#23672,IFCMATERIALLAYER,0.045
IfcMaterialLayer,#23673,IFCMATERIALLAYER,0.012
IfcMaterialLayer,#24661,IFCMATERIALLAYER,0.136
IfcMaterialLayer,#24662,IFCMATERIALLAYER,0.016
IfcMaterialLayer,#37847,IFCMATERIALLAYER,0.15
IfcMaterialLayer,#37951,IFCMATERIALLAYER,0.038
IfcMaterialLayer,#37952,IFCMATERIALLAYER,0.016
