:LABEL,description,global_id,id,ifc_type,name,space_type,tag
IfcSpace,,0BTBFw6f90Nfh9rP1dlXrr,#514,IFCSPACE,A101,ELEMENT,Foyer
IfcSpace,,0BTBFw6f90Nfh9rP1dlXri,#819,IFCSPACE,A201,ELEMENT,Hallway
IfcSpace,,0BTBFw6f90Nfh9rP1dl_3P,#1928,IFCSPACE,B104,ELEMENT,Bathroom 1
IfcSpace,,0BTBFw6f90Nfh9rP1dl_3Q,#2108,IFCSPACE,B101,ELEMENT,Foyer
IfcSpace,,0BTBFw6f90Nfh9rP1dl_3G,#2412,IFCSPACE,B201,ELEMENT,Hallway
IfcSpace,,2gRXFgjRn2HPE$YoDLX3FV,#3197,IFCSPACE,A205,ELEMENT,Utility
IfcSpace,,2gRXFgjRn2HPE$YoDLX3FC,#3325,IFCSPACE,B205,ELEMENT,Utility
IfcSpace,,10mjSDZJj9gPS2PrQaxa3z,#3456,IFCSPACE,A105,ELEMENT,Stair
IfcSpace,,10mjSDZJj9gPS2PrQaxa4o,#3586,IFCSPACE,B105,ELEMENT,Room
IfcSpace,,0pNy6pOyf7JPmXRLgxs3sW,#3707,IFCSPACE,R301,ELEMENT,Roof
IfcSpace,,0BTBFw6f90Nfh9rP1dl_CZ,#1627,IFCSPACE,B102,ELEMENT,Living Room
IfcSpace,,0BTBFw6f90Nfh9rP1dlXr2,#67,IFCSPACE,A102,ELEMENT,Living Room
IfcSpace,,0BTBFw6f90Nfh9rP1dlXr$,#212,IFCSPACE,A103,ELEMENT,Kitchen
IfcSpace,,0BTBFw6f90Nfh9rP1dl_3S,#1782,IFCSPACE,B103,ELEMENT,Kitchen
IfcSpace,,0BTBFw6f90Nfh9rP1dl_3C,#2637,IFCSPACE,B204,ELEMENT,Bathroom 2
IfcSpace,,0BTBFw6f90Nfh9rP1dlXre,#1059,IFCSPACE,A204,ELEMENT,Bathroom 2
IfcSpace,,0BTBFw6f90Nfh9rP1dlXru,#355,IFCSPACE,A104,ELEMENT,Bathroom 1
IfcSpace,,0BTBFw6f90Nfh9rP1dl_39,#2789,IFCSPACE,B203,ELEMENT,Bedroom 2
IfcSpace,,0BTBFw6f90Nfh9rP1dlXrc,#1442,IFCSPACE,A202,ELEMENT,Bedroom 1
IfcSpace,,0BTBFw6f90Nfh9rP1dl_3A,#3013,IFCSPACE,B202,ELEMENT,Bedroom 1
IfcSpace,,0BTBFw6f90Nfh9rP1dlXrb,#1218,IFCSPACE,A203,ELEMENT,Bedroom 2
